attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
6,6,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,,US,United States,Non-state-group,Hacktivist(s)
7,7,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Antijapan,KR,"Korea, Republic of",Non-state-group,Hacktivist(s)
10,10,2013.0,,,,Attribution by third-party,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
11,11,2005.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,,CN,China,State affiliated actor,
12,11,2005.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,CN,China,State affiliated actor,
15,13,2009.0,,,,Attribution by third-party,"Attribution given, type unclear",,,,,KP,"Korea, Democratic People's Republic of",State,
18,15,2004.0,,,,Attribution by third-party,"Attribution given, type unclear",,,,,CN,China,State affiliated actor,
22,18,2015.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"APT30/Raspberry Typhoon fka RADIUM/Naikon/G0013/LotusBlossum (PLA, Unit 78020)",CN,China,State affiliated actor,
22,18,2015.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,PLA Unit 78020,CN,China,State affiliated actor,
24,20,,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,KG,Kyrgyzstan,,
25,21,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
26,21,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
27,22,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
28,22,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
30,24,2006.0,,,,Attribution by receiver government / state entity,Statement in media report and political statement/technical report,,,,,CN,China,State,
31,25,2011.0,,,,IT-security community attributes attacker,Statement in media report and political statement/technical report,,,,PLA Unit 61398,CN,China,Non-state-group,Criminal(s)
31,25,2011.0,,,,IT-security community attributes attacker,Statement in media report and political statement/technical report,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",CN,China,State affiliated actor,
32,25,2011.0,,,,Attribution by third-party,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",CN,China,State affiliated actor,
32,25,2011.0,,,,Attribution by third-party,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,PLA Unit 61398,CN,China,State affiliated actor,
